URL,Title,Price_Raw,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État
https://www.avito.ma/fr/riad_oulad_mtaa/voitures_d_occasion/Nissan_Qashqai_Diesel_2016_57314186.htm,Nissan Qashqai Diesel 2016,173 000 DH,2016,Manuelle,Diesel,150,Nissan,Qashqai,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Tiguan_R_LINE_57330375.htm,Tiguan R LINE,Demander le prix,2022,Automatique,Diesel,102000,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Excellent
https://www.avito.ma/fr/jawhara/voitures_d_occasion/BMW_S%C3%A9rie_2_Diesel_Automatique_2023_%C3%A0_El_Jadida_57278874.htm,BMW Série 2 Diesel Automatique 2023 à El Jadida,Demander le prix,2023,Automatique,Diesel,50000,BMW,Série 2,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Mercedes_Benz_Classe_A_Diesel_Automatique_2022_56488340.htm,Mercedes-Benz Classe A Diesel Automatique 2022,Demander le prix,2022,Automatique,Diesel,45000,Mercedes-Benz,Classe A,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/salama/voitures_d_occasion/Renault_Megane_2023_Excellent_%C3%A9tat_57343510.htm,Renault Megane 2023 Excellent état,195 000 DH,2023,Automatique,Diesel,100000,Renault,Megane,5,WW au Maroc,Non,6 CV,Bon
https://www.avito.ma/fr/hay_dakhla/voitures_d_occasion/Dacia_Duster_2_4_2022_56831298.htm,Dacia Duster 2*4 2022,165 000 DH,2022,Manuelle,Diesel,150000,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/a%C3%AFn_chock/voitures_d_occasion/Skoda_Octavia_Diesel_Automatique_2021_%C3%A0_Casablanca_57292592.htm,Skoda Octavia Diesel Automatique 2021 à Casablanca,Demander le prix,2021,Automatique,Diesel,80000,Skoda,Octavia,,WW au Maroc,Oui,8 CV,
https://www.avito.ma/fr/californie/voitures_d_occasion/Vw_Tiguan_automatique_diesel_r_lain_55601346.htm,Vw Tiguan automatique diesel r lain,470 000 DH,2022,Automatique,Diesel,100000,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Excellent
https://www.avito.ma/fr/a%C3%AFn_diab/voitures_d_occasion/Citro%C3%ABn_C5_Diesel_Automatique_2017_%C3%A0_Casablanca_57325833.htm,Citroën C5 Diesel Automatique 2017 à Casablanca,155 000 DH,2017,Automatique,Diesel,100000,Citroën,C5,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/californie/voitures_d_occasion/Peugeot_208_Diesel_Automatique_2023_%C3%A0_Casablanca_57246901.htm,Peugeot 208 Diesel Automatique 2023 à Casablanca,173 000 DH,2023,Automatique,Diesel,75000,Peugeot,208,5,WW au Maroc,Oui,6 CV,Excellent
